0.4296 	 HH 
0.6502 	 HH 
0.8591 	 HH 
0.8591 	 SD 
1.0797 	 HH 
1.2887 	 HH 
1.4977 	 KD 
1.5093 	 HH 
1.7183 	 HH 
1.9273 	 KD 
1.9389 	 HH 
2.1478 	 HH 
2.1478 	 KD 
2.3684 	 HH 
2.5774 	 HH 
2.5774 	 SD 
2.7864 	 HH 
2.7864 	 KD 
3.0070 	 HH 
3.2160 	 KD 
3.2160 	 HH 
3.4249 	 HH 
3.4249 	 KD 
3.6455 	 HH 
3.8661 	 HH 
4.0751 	 KD 
4.0751 	 HH 
4.2841 	 SD 
4.2841 	 HH 
4.5047 	 HH 
4.7253 	 HH 
4.9342 	 KD 
4.9342 	 HH 
5.1548 	 HH 
5.3638 	 HH 
5.5728 	 HH 
5.5728 	 KD 
5.7818 	 KD 
5.7934 	 HH 
6.0024 	 HH 
6.2113 	 KD 
6.2113 	 HH 
6.4319 	 SD 
6.4319 	 HH 
6.6409 	 KD 
6.6409 	 HH 
